Panel,Serial Number,Point,Date,Time,Measurement Temp,CAD Model,Coordinate System,X Ist,Y Ist,Z Ist
57,01-011571,V1,2024-01-04 00:00:00,13:01:00,11.4,20240104_Pnl_57_58_10Deg_Tool-V03_,Nominal-Frame_Rot-Y_-26.565051,-1930.55,-1562.63,-3146.53
57,01-011571,V2,2024-01-04 00:00:00,13:01:00,11.4,20240104_Pnl_57_58_10Deg_Tool-V03_,Nominal-Frame_Rot-Y_-26.565051,-1934.04,-1122.59,-3155.9
57,01-011571,V3,2024-01-04 00:00:00,13:01:00,11.4,20240104_Pnl_57_58_10Deg_Tool-V03_,Nominal-Frame_Rot-Y_-26.565051,-1430.74,-1556.98,-3146.51
57,01-011571,V4,2024-01-04 00:00:00,13:01:00,11.4,20240104_Pnl_57_58_10Deg_Tool-V03_,Nominal-Frame_Rot-Y_-26.565051,-1432.9,-1119.16,-3155.78
57,01-011571,V5,2024-01-04 00:00:00,13:01:00,11.4,20240104_Pnl_57_58_10Deg_Tool-V03_,Nominal-Frame_Rot-Y_-26.565051,-1686.44,-1338.4,-3152.01
58,01-011581,V1,2024-01-04 00:00:00,14:35:00,11.6,20240104_Pnl_57_58_10Deg_Tool-V03_,Nominal-Frame_Rot-Y_-26.565051,-1934.73,-2227.37,-3126.69
58,01-011581,V2,2024-01-04 00:00:00,14:35:00,11.6,20240104_Pnl_57_58_10Deg_Tool-V03_,Nominal-Frame_Rot-Y_-26.565051,-1927.85,-1790.55,-3140.5
58,01-011581,V3,2024-01-04 00:00:00,14:35:00,11.6,20240104_Pnl_57_58_10Deg_Tool-V03_,Nominal-Frame_Rot-Y_-26.565051,-1428.88,-2230.81,-3126.52
58,01-011581,V4,2024-01-04 00:00:00,14:35:00,11.6,20240104_Pnl_57_58_10Deg_Tool-V03_,Nominal-Frame_Rot-Y_-26.565051,-1435.7,-1796.4,-3140.21
58,01-011581,V5,2024-01-04 00:00:00,14:35:00,11.6,20240104_Pnl_57_58_10Deg_Tool-V03_,Nominal-Frame_Rot-Y_-26.565051,-1687.83,-2014.96,-3134.09
59,01-011591,V1,2024-01-04 00:00:00,15:01:00,11.6,20240104_Group_02_10Grad_big_Plus_H-Y_Tool-V03,Nominal-Frame_Rot-Y_-26.565051,-1925.73,-2906.88,-3099.8
59,01-011591,V2,2024-01-04 00:00:00,15:01:00,11.6,20240104_Group_02_10Grad_big_Plus_H-Y_Tool-V03,Nominal-Frame_Rot-Y_-26.565051,-1925.99,-2466.15,-3118.05
