Enabled	Feature	ID  	x        	y        	z       	i       	j       	k        	Dev From Fit	Device Position  	Probe	Device Name
Checked	LATR_4 	185 	1,027.433	6,998.508	-179.122	0.262233	0.939838	-0.218946	0.253       	Device Position 1	38.1 	V20003907682
Checked	LATR_4 	186 	1,027.436	6,998.510	-179.116	0.262234	0.939839	-0.218944	0.246       	Device Position 1	38.1 	V20003907682
Checked	LATR_4 	187 	1,027.441	6,998.509	-179.116	0.262236	0.939838	-0.218944	0.245       	Device Position 1	38.1 	V20003907682
Checked	LATR_4 	188 	1,027.436	6,998.510	-179.118	0.262234	0.939839	-0.218944	0.247       	Device Position 1	38.1 	V20003907682
Checked	LATR_4 	189 	1,027.440	6,998.510	-179.112	0.262236	0.939839	-0.218942	0.241       	Device Position 1	38.1 	V20003907682
Checked	LATR_4 	190 	1,027.438	6,998.510	-179.113	0.262235	0.939839	-0.218943	0.242       	Device Position 1	38.1 	V20003907682
Checked	LATR_4 	191 	1,027.441	6,998.510	-179.115	0.262236	0.939838	-0.218943	0.243       	Device Position 1	38.1 	V20003907682
Checked	LATR_4 	192 	1,027.439	6,998.510	-179.112	0.262235	0.939839	-0.218942	0.241       	Device Position 1	38.1 	V20003907682
Checked	LATR_4 	193 	1,027.447	6,998.508	-179.116	0.262238	0.939838	-0.218943	0.243       	Device Position 1	38.1 	V20003907682
Checked	LATR_4 	194 	1,027.443	6,998.509	-179.112	0.262237	0.939838	-0.218942	0.240       	Device Position 1	38.1 	V20003907682
Checked	LATR_4 	195 	1,027.441	6,998.511	-179.108	0.262236	0.939839	-0.218941	0.237       	Device Position 1	38.1 	V20003907682
Checked	LATR_4 	196 	1,027.442	6,998.510	-179.110	0.262236	0.939839	-0.218942	0.239       	Device Position 1	38.1 	V20003907682
Checked	LATR_4 	197 	1,027.442	6,998.510	-179.111	0.262236	0.939839	-0.218942	0.239       	Device Position 1	38.1 	V20003907682
Checked	LATR_4 	198 	1,027.443	6,998.511	-179.108	0.262237	0.939839	-0.218941	0.236       	Device Position 1	38.1 	V20003907682
